number,value,state,params_alpha,params_colsample_bytree,params_eta,params_gamma,params_lambda,params_max_depth,params_min_child_weight,params_scale_pos_weight,params_subsample,datetime_start,datetime_complete,duration
0,0.27196156900584556,COMPLETE,2.5348407664333426e-07,0.7993292420985183,0.005950295391592125,4.330880728874676,3.260018868965215e-07,6,7.969454818643936,13.100634991739815,0.8659969709057025,2025-08-31 17:53:41.455323,2025-08-31 18:08:57.800814,0 days 00:15:16.345491
1,0.2528982594775213,PRUNED,4.329370014459266e-07,0.9162213204002109,0.008661333735273127,1.5212112147976886,1.1467550602767526e-06,10,0.10994335574766201,11.784737153416433,0.9849549260809971,2025-08-31 18:08:57.868249,2025-08-31 18:16:47.826577,0 days 00:07:49.958328
2,0.2698438998418092,COMPLETE,1.9826980964985924e-05,0.569746930326021,0.019603369861210685,3.925879806965068,6.815570007042738e-06,7,0.38234752246751863,7.509320548570588,0.8059264473611898,2025-08-31 18:16:47.971735,2025-08-31 18:20:56.320804,0 days 00:04:08.349069
3,0.24394045832258912,COMPLETE,3.850031979199519e-08,0.8037724259507192,0.08580222514877409,4.828160165372797,4.507215889246574e-07,8,1.5304852121831465,17.461789485851234,0.5232252063599989,2025-08-31 18:20:56.361487,2025-08-31 18:22:50.742199,0 days 00:01:54.380712
4,0.27300033514575556,COMPLETE,0.00028614897264046574,0.7200762468698007,0.005542561258655853,4.546602010393911,1.5263185384803185e-07,6,0.1567993391672301,8.15053508568542,0.8421165132560784,2025-08-31 18:22:50.775073,2025-08-31 18:40:49.255102,0 days 00:17:58.480029
5,0.24918926439105374,PRUNED,5.324289357128436,0.7733551396716398,0.05098483969585744,4.697494707820946,6.207229735122678e-07,9,0.420167205437253,19.68451843595032,0.7600340105889054,2025-08-31 18:40:49.320257,2025-08-31 18:42:34.352465,0 days 00:01:45.032208
6,0.2395605948410416,PRUNED,8.471746987003668e-06,0.5979914312095727,0.016019568611465234,1.3567451588694794,2.745731831268628e-08,8,6.978281265126034,17.961175043274576,0.5442462510259598,2025-08-31 18:42:34.360846,2025-08-31 18:43:23.660631,0 days 00:00:49.299785
7,0.26458071959872403,COMPLETE,4.6876566400928895e-08,0.5704621124873813,0.09614783537271693,3.861223846483287,0.6032321141150587,6,0.3646439558980721,7.499353218550767,0.7713480415791243,2025-08-31 18:43:23.668581,2025-08-31 18:45:30.517107,0 days 00:02:06.848526
8,0.20446617922531166,PRUNED,4.638759594322625e-08,0.8645035840204937,0.014633380642745364,0.5793452976256486,0.302362521035284,3,4.274869455295218,18.83757909736098,0.8534286719238086,2025-08-31 18:45:30.557662,2025-08-31 18:46:19.826450,0 days 00:00:49.268788
9,0.25272026334080994,COMPLETE,0.036851536911881845,0.6554911608578311,0.033763806178210086,4.436063712881633,1.4254214381700476e-05,9,0.458982418149565,10.956876373803441,0.5317791751430119,2025-08-31 18:46:19.835589,2025-08-31 18:49:07.018526,0 days 00:02:47.182937
10,0.2249678310895412,PRUNED,1.6179644069628365e-05,0.836497554376359,0.017449875419446814,4.723683893425779,4.446110397317515e-06,5,0.12519990063777442,11.395123915000882,0.8595802270459191,2025-08-31 18:49:07.154975,2025-08-31 18:49:40.890637,0 days 00:00:33.735662
11,0.27311754274196287,COMPLETE,1.6529930214661244e-06,0.8285003994082026,0.011141018992542578,4.164518797389561,3.268795887383111e-08,5,5.757710139581632,11.555597506070518,0.7802645952475723,2025-08-31 18:49:40.979363,2025-08-31 19:01:06.059793,0 days 00:11:25.080430
12,0.2736912861162808,COMPLETE,0.021371898534606634,0.7562887138257138,0.009698494051161027,2.927245479652501,2.354393951163493e-08,5,2.3950948857664844,9.081784772351341,0.8777170875092511,2025-08-31 19:01:06.149580,2025-08-31 19:14:54.823356,0 days 00:13:48.673776
13,0.2742547154335519,COMPLETE,1.0502784552134519,0.7813856939417118,0.011929628862140301,3.2602660068790703,3.536957936746935e-07,4,1.067790007831429,7.84186894378666,0.9150317864680074,2025-08-31 19:14:54.984617,2025-08-31 19:33:02.771780,0 days 00:18:07.787163
14,0.23310570992992244,PRUNED,0.2624357637189701,0.79722201782469,0.02332191822503704,3.8389525352421465,1.3692010931206e-07,5,1.0442869137361641,6.431514192078109,0.9822096330903811,2025-08-31 19:33:02.843689,2025-08-31 19:33:49.023246,0 days 00:00:46.179557
15,0.21354356374454503,PRUNED,0.049426260446764604,0.790744817547865,0.005443474617623536,1.38120090857552,3.511502878790513e-08,5,0.962715383083367,9.5730808334741,0.7197696491946816,2025-08-31 19:33:49.030488,2025-08-31 19:34:43.509239,0 days 00:00:54.478751
16,0.24694440713407206,PRUNED,0.34556926724038983,0.5438816668479283,0.00832445255012219,4.569880872077007,5.5176471425347585e-08,3,2.4177888298962773,6.8241879518569215,0.818901482409513,2025-08-31 19:34:43.516857,2025-08-31 19:37:56.110043,0 days 00:03:12.593186
17,0.21636382546861216,PRUNED,0.0632430426647376,0.8794175527004361,0.005193363994708417,3.6854641702713176,0.010546442968972917,6,3.824411793870147,8.509508251517314,0.9034813635103989,2025-08-31 19:37:56.123272,2025-08-31 19:38:45.142715,0 days 00:00:49.019443
18,0.2290551792977839,PRUNED,0.4180393490653739,0.6709793382590817,0.009134352683011403,2.3728773209086773,6.800619818034537e-08,4,4.464202459148976,16.778068586188155,0.8741160663675339,2025-08-31 19:38:45.151013,2025-08-31 19:40:11.798911,0 days 00:01:26.647898
19,0.27266872485980437,COMPLETE,5.624654632129352,0.9253542744166515,0.02758427751075503,2.9362230671011105,5.279570840894212e-07,4,0.19296101470895535,12.114340590760229,0.9444884662878831,2025-08-31 19:40:11.808829,2025-08-31 19:46:58.963302,0 days 00:06:47.154473
20,0.27183774331942623,COMPLETE,0.005026990675801595,0.7481193392400215,0.01850934592189967,0.530592280900021,3.065287733360046e-06,5,0.9775932554029435,7.669076660687305,0.9863918887273285,2025-08-31 19:46:59.014498,2025-08-31 19:53:43.775276,0 days 00:06:44.760778
21,0.23346333978616857,PRUNED,4.27137219135298e-07,0.7998220653025323,0.010002339124358078,3.9999827974586113,1.0564224998174292e-08,4,6.046367681508089,9.916763935308817,0.6061404624331624,2025-08-31 19:53:43.831679,2025-08-31 19:55:33.407131,0 days 00:01:49.575452
22,0.22401420631401572,PRUNED,6.641515354925807,0.8069024363754901,0.005294920561880525,3.985332068573566,8.739434585828764e-08,5,2.839409197264305,10.397755560942208,0.7901978453243939,2025-08-31 19:55:33.416743,2025-08-31 19:56:56.417995,0 days 00:01:23.001252
23,0.23200610396178437,PRUNED,0.0009420250874979061,0.7250988256346339,0.022177085318559456,2.4665753059582123,3.6079088421457e-08,5,8.989840714421016,9.737031285889975,0.8286180614457934,2025-08-31 19:56:56.426221,2025-08-31 19:57:27.322794,0 days 00:00:30.896573
24,0.215469199619775,PRUNED,2.908234085502453,0.8108012519237272,0.01565891616919713,2.2790359025221343,0.00013272585856579863,4,2.3479368944169208,9.530509162626542,0.8145907698317795,2025-08-31 19:57:27.331777,2025-08-31 19:58:03.666333,0 days 00:00:36.334556
25,0.19772133821846558,PRUNED,0.019572961947605824,0.7925181223631658,0.006154157102642534,3.720948639751381,5.742446048237002e-06,3,2.287404449825392,6.007217466003913,0.9564840258144623,2025-08-31 19:58:03.673991,2025-08-31 19:58:41.275361,0 days 00:00:37.601370
26,0.22224129772375859,PRUNED,1.3744163494535602e-05,0.8665888505379186,0.016780263974265387,4.429596135495778,1.0822680495970215e-08,5,5.835611122275026,19.494330890962367,0.7254338038488217,2025-08-31 19:58:41.283234,2025-08-31 19:59:15.301576,0 days 00:00:34.018342
27,0.27094812418207603,COMPLETE,5.3388716501143606e-06,0.845640859782124,0.03210675144894763,4.276504456377298,6.597535495909051e-07,6,1.92836993602861,8.462283394068159,0.8462057159593882,2025-08-31 19:59:15.313751,2025-08-31 20:02:58.118845,0 days 00:03:42.805094
28,0.2252046054042931,PRUNED,2.0738479329623507,0.6976986938021297,0.031915264288056334,2.798172319266776,1.0073941020360276e-07,3,0.5953166219979804,8.450617680279786,0.7639823442488299,2025-08-31 20:02:58.259735,2025-08-31 20:03:39.930932,0 days 00:00:41.671197
29,0.2618968667883089,PRUNED,1.2141628265515134,0.7586279065264543,0.01901016625391461,4.508778358403423,1.6126710373826007e-08,3,4.510227312062732,11.791532792416007,0.9291488165547489,2025-08-31 20:03:39.941317,2025-08-31 20:07:12.012341,0 days 00:03:32.071024
30,0.23789316306795513,PRUNED,7.177324640036953e-05,0.8540319777746425,0.00987466776220467,2.8737921352645523,2.529983448775649e-07,5,2.503806744936287,14.753035009062565,0.9356560005045036,2025-08-31 20:07:12.090190,2025-08-31 20:08:42.400450,0 days 00:01:30.310260
31,0.22679085297834073,PRUNED,0.31800767038201305,0.7031856955919048,0.005226033215216464,4.432625091025098,3.046289873170232e-07,5,0.14272647958250553,8.353400099337755,0.7895773161145792,2025-08-31 20:08:42.416154,2025-08-31 20:09:59.505886,0 days 00:01:17.089732
32,0.2629685347199651,PRUNED,0.0006048800646765392,0.6333523465540746,0.006701301939663292,4.305990236855392,2.258269037278004e-07,8,0.16255373007660892,9.207214202724796,0.952892629638116,2025-08-31 20:09:59.515666,2025-08-31 20:14:07.712841,0 days 00:04:08.197175
33,0.20378742059753815,PRUNED,6.510816019531374e-06,0.9806853643559248,0.009217947131415816,4.622913711392304,4.420727693508087e-07,4,3.757673395224978,11.00870082710449,0.8240822511743449,2025-08-31 20:14:07.725200,2025-08-31 20:14:42.880239,0 days 00:00:35.155039
34,0.19757375139171815,PRUNED,2.1933798880727746,0.7799109008252066,0.005366092099818479,2.587127010623835,1.9294650863763923e-06,3,0.6620455055844002,9.625211163037457,0.9819417125917731,2025-08-31 20:14:42.887859,2025-08-31 20:15:16.799873,0 days 00:00:33.912014
35,0.22457018844298765,PRUNED,7.310605178091165e-05,0.7192123123974905,0.006622171806074203,4.839684732074892,1.175662044584558e-07,6,0.22354313199628126,6.241219830507083,0.8080347366241785,2025-08-31 20:15:16.810342,2025-08-31 20:15:52.552766,0 days 00:00:35.742424
36,0.2662586205735099,PRUNED,0.0007611759251344947,0.8244252651662085,0.009355267964197915,2.956557788342253,1.2659525084902077e-08,7,1.3748252867509796,9.081136970043005,0.939009077340473,2025-08-31 20:15:52.632755,2025-08-31 20:19:40.981001,0 days 00:03:48.348246
37,0.22349585189962157,PRUNED,2.1407856616174974e-07,0.8242040822572371,0.010109672208555482,3.734834355329119,3.506987447064977e-08,6,8.248671167432988,11.868977781887558,0.8284442187585681,2025-08-31 20:19:40.994402,2025-08-31 20:20:19.971457,0 days 00:00:38.977055
38,0.21639795754748575,PRUNED,0.24262306418069765,0.8846921222464722,0.01085543481236828,2.594498303882814,0.00013521853021082153,5,0.4538352454704525,6.7820833038377115,0.8579264495363821,2025-08-31 20:20:19.979286,2025-08-31 20:20:59.205731,0 days 00:00:39.226445
39,0.21208550956555589,PRUNED,0.00011191275323126653,0.6301623244555589,0.009199769814560624,3.142979074907898,1.666336825882275e-08,4,2.9532978554125275,8.68489059673974,0.9678954496424665,2025-08-31 20:20:59.214108,2025-08-31 20:21:33.545227,0 days 00:00:34.331119
40,0.22892163471017932,PRUNED,0.00014011157618686002,0.8372470864967295,0.005384653793707726,4.070627423370755,5.197535084502099e-08,9,0.25424548025370575,11.264010334507628,0.8798882178559602,2025-08-31 20:21:33.553032,2025-08-31 20:22:28.072181,0 days 00:00:54.519149
41,0.21008727649304068,PRUNED,0.2196503127315093,0.9156113880960566,0.018911212527457002,1.5701398500002408,0.00010682936271726545,3,0.20246247486491764,13.06068336178829,0.9349089816537577,2025-08-31 20:22:28.082534,2025-08-31 20:22:58.125554,0 days 00:00:30.043020
42,0.27354154613924947,COMPLETE,4.384386243331235,0.9591229046060281,0.05073926089149119,1.2866845032414072,3.576781541279642e-08,3,0.17184603018306033,11.28242663714175,0.8575487150548231,2025-08-31 20:22:58.133183,2025-08-31 20:29:56.714779,0 days 00:06:58.581596
43,0.2704066968276343,COMPLETE,0.7290264987578198,0.9549043130911675,0.08414181172642693,0.7815238544687247,3.036529317322832e-08,3,0.2571367327160199,12.436251679221277,0.9578425885799852,2025-08-31 20:29:56.766054,2025-08-31 20:34:04.415181,0 days 00:04:07.649127
44,0.2586964960838218,PRUNED,0.16802375419726645,0.9585439653007647,0.04259941848082699,1.0884117367686859,1.1066425245748959e-06,3,0.3852812045848296,10.966587513173009,0.8150964825668544,2025-08-31 20:34:04.559390,2025-08-31 20:36:17.270864,0 days 00:02:12.711474
45,0.26800711990425696,PRUNED,0.11332519465001303,0.9992665658998566,0.03301338217907708,1.8374526093820551,2.3765884817467625e-08,3,0.21084922848805007,12.31690596062544,0.6950709970496429,2025-08-31 20:36:17.280647,2025-08-31 20:39:19.419059,0 days 00:03:02.138412
46,0.2712996515604432,COMPLETE,0.8445587998904034,0.8680029333890018,0.05784120977238839,1.1428252673024866,1.1358983692744464e-08,4,0.10776705726417274,13.01076982499082,0.7840790263899697,2025-08-31 20:39:19.497528,2025-08-31 20:43:39.339256,0 days 00:04:19.841728
47,0.25636575607942097,PRUNED,0.41254811209951603,0.7316251511868017,0.012747074318085095,3.110848327487654,1.3605533275508783e-08,7,5.028597062633087,7.1369513867404235,0.9136142223233564,2025-08-31 20:43:39.383117,2025-08-31 20:45:18.108899,0 days 00:01:38.725782
48,0.20752753796093742,PRUNED,0.14391698188119995,0.8207093832748941,0.015810632849735027,2.2206926962791784,2.1630017641932943e-07,3,1.077745315266379,6.817049448387608,0.8659515060791189,2025-08-31 20:45:18.117787,2025-08-31 20:45:59.281329,0 days 00:00:41.163542
49,0.2588087818632932,PRUNED,0.0010415523414613326,0.646271310268369,0.019284087182850185,4.56417958643574,17.390354678049288,12,0.20231866652905559,9.995144086854044,0.635221209319955,2025-08-31 20:45:59.291144,2025-08-31 20:50:34.781838,0 days 00:04:35.490694
